ID(time sequential),prolific_ID,"ismanual
(0 = optimizer-driven condition; 1 = manual condition)",variable_input,variable_bounds,objective_input,objectivebounds,objective_min/max,chosen_solution(the index of the solution user chose),"Is there more than one ""best solution"" displayed on the result page?","If you have to choose only one solution, which one of the ""best solutions"" will you choose? Please write the name of that solution.",Why did you choose that solution?,Can you describe your experience approaching the optimization task in this study?,We know the optimization task shall be under a diet scenario. But please describe the optimization task you specified in your own words.,Variable,Objective,Do you feel it difficult to specify the variables or objectives during the study?,Can you explain the reason for feeling difficult?,Categories_Why_Feel_Difficult,Satisfy_specify,Confidence_specify,Agency_specify,Why do you feel you are unsatisfied with your specification?,Why are you not confident that your specifications are reasonable for your optimization task?,Why do you feel not very involved in specifying?,Categories_low_ratings_specify,Can you describe your understanding towards the relationship between variables and objectives?,Do you think your objectives are logical for your variables?,Please explain why you don't think they are logical.,Satisfy_optimize,Confidence_optimize,Agency_optimize,Why do you feel you are unsatisfied with the optimization process?,Why do you feel you are not very confident for your optimization process?,Why do you feel you were not very involved in the optimization process?,Categories_low_ratings_optimize,Satisfy_result,Confidence_result,Agency_result,Why do you feel you are unsatisfied with the optimization results you got?,Why do you feel you are not very confident that the final result is optimal?,Why do you feel you were not very involved with getting the optimal result?,Categories_low_ratings_result,"When using our tool, were there any specific features that you wanted and are missing?",Please describe the features you want.,What steps were unclear to you? You can select multiple.:Tutorial,What steps were unclear to you? You can select multiple.:Specify,What steps were unclear to you? You can select multiple.:Optimize,What steps were unclear to you? You can select multiple.:Get results,"What steps were unclear to you? You can select multiple.:No, I feel all are very clear and easy to understand.",Can you tell more about the reason(s)?,Do you have any experience working with optimization problems?:I worked with optimization problems in design-related tasks.,Do you have any experience working with optimization problems?:I worked with optimization problems in engineering tasks.,Do you have any experience working with optimization problems?:I worked with optimization problems in science research.,Do you have any experience working with optimization problems?:I worked with optimization problems for financial-related scenarios.,Do you have any experience working with optimization problems?:Other (Please specify),"Do you have any experience working with optimization problems?:No, I don't have any experience.",Do you have any experience working with optimization problems?:Other (Please specify) Open text answers,"Then, can you briefly explain the optimization problem you worked with in your past experience?","Do you think you can use this tool to solve your optimization problem? If yes, please describe the variables and objectives. If not, please explain why you can't solve the optimization problem using this tool.",Categories_why_cant_use_this_tool_solve_their_problems,"Do you think you can use this tool to solve your optimization problem? If yes, please describe the variables and objectives. If not, please explain why you can't solve the optimization problem using this tool. Open text answers",Can you specify the variables and objectives for your optimization problem?:Variables,Can you specify the variables and objectives for your optimization problem?:Objectives,"Categories_of_specifications
(3 categories:
Reasonable;
Unreasonable: directly mapping;
overlaps;
Incomplete;
Not sure)","Can you come up with another example in your daily life or work (excluding diet and tutorial examples) where you could benefit from using this tool? If yes, please briefly describe the example. If you can't, please also explain why you find it challenging to come up with an example.","Can you come up with another example in your daily life or work (excluding diet and tutorial examples) where you could benefit from using this tool? If yes, please briefly describe the example. If you can't, please also explain why you find it challenging to come up with an example. Open text answers",Categories_why_cant_find_another_example,"Can you specify the ""Variables"" and ""Objectives"" for that example you came up with?","Categories_of_specifications
(
Reasonable - 1;
Unreasonable - 4: directly mapping;
overlaps;
Incomplete - 2
Not sure - 3)",Do you have more comments about this tool?,What's your educational background?,What's your educational background? Open text answers,Do you have any knowledge related to optimization algorithms in math or computer science?,Do you have any knowledge related to optimization algorithms in math or computer science? Open text answers
351,65fadd16dd68b34863129702,0,"""Weight to lose/KG,Amount of food to eat/G""","[5, 8, 3, 6]","""Lose weight/KG,Stay Healthy/mmHg""","[5, 14, 0, 100]","['minimize', 'minimize']","""""",No,,,I had a challenge at the beginning trying to understand the instructions but later got to learn it.,I wanted to know how much weight I could lose and stay healthy at the same time wile watching the amounts of food I consume.,"['Weight to lose', 'Amount of food to eat']","['Lose weight', 'Stay Healthy']","Yes, specifying variables is difficult for me.",I was unable to easily quantify food portions.,Hard to set value range of variables/objectives,5,5,7,,,,,"To achieve certain objectives, I had to constantly alter the variables.",Yes,,5,5,7,,,,,5,5,6,,,,,Yes,If the tool could come with specific measures to quantify variables.,,Specify,,,,I was not easily able to give specific quantities of food as my variables.,I worked with optimization problems in design-related tasks.,,,,,,,It involved checking written content to see if it matched the user prompt accurately.,No,Different purposes compared to this,They serve different purposes.,,,,Yes,Finding out when to replace my Laptop's battery.,,"Objectives
1. Knowing My battery life
2. Finding the best battery
Variables
1. Cost of the battery
2. Durability of the battery",2,Not really.,BS degree,,No,
354,63254db937c17e8e9200fd54,0,"""exercise/min/day,calories/kcal/day,protein/gm/day,fat/gm/day,carbs/gm/day""","[60, 120, 1000, 2000, 150, 170, 30, 50, 100, 200]","""body fat/%,muscle/lb,body weight/lb""","[2, 10, 3, 8, 5, 15]","['minimize', 'maximize', 'minimize']","""18""",Yes,Solution 19,"It satisfied the most of my requirements, and although I thought it wasn't great at one thing like ""losing fat"" or ""gaining muscle,"" it was good across the board on all aspects. It makes me believe that following this program in the long term will achieve the goal of losing weight and maintaining a healthy lifestyle","It was interesting  and on a topic that really intrigues me, as i workout regularly. The AI tool was good at gaining an understanding of a diet program in the long run without experience. One could simulate their diet and decide how to enhance it","create a diet program that falls between a set amount of calories, protein and fat intake. In order to loose body fat while growing muscle and maintaining a healthy life","['exercise', 'calories', 'protein', 'fat', 'carbs']","['body fat', 'muscle', 'body weight']","No, all are easy for me.",,,6,7,7,,,,,"If all these variables are met, then these objectives are accomplished. For example, caloric intakes are closely related to body weight, fat, and muscle. While protein intake is related to muscle mass and fat intake is related to body fat%. When combined, a diet of low calories with a high protein and low fat will deliver results of less body fat and higher muscle mass",Yes,,7,7,4,,,,,7,7,5,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,"time studying, related to class grades",,"chapters read, amount of practice quiz taken, objective: higher grade",1,,BS degree,,No,
355,5883a935c0c9a10001df6345,1,"""Calories in each meal,Number of meals""","[300, 650, 1, 5]","""Weight loss,Stay healthy""","[0, 10, 0, 100]","['minimize', 'minimize']","""2""",Yes,I have chosen the healthier option. Option 2.,Because it is better to be healthy than lose weight.,It was a bit of a complex task to do. The AI ​​still needs to improve some things.,I tried to make a scenario where the AI ​​had to choose how many meals and calories per day are necessary to have a healthy diet.,"['Calories in each meal', 'Number of meals']","['Weight loss', 'Stay healthy']","Yes, specifying variables is difficult for me.",I didn't really know which variables to choose. I thought about it a lot.,Hard to come up with variables,5,5,6,,,,,The mix of variables determines the optimal outcome of the objectives.,Yes,,2,2,5,The result I expected did not come out.,The result I expected did not come out.,,Discrepancy Between Expected and Actual Results/ Uncertainty about the clarity and effectiveness of own optimization process 2,2,2,6,The result I expected did not come out.,The result I expected did not come out.,,Preference for Results Outside of Pareto Front Selection,Yes,I want an AI to interact with me in the process of creating the diet and not just give me a final solution.,,,,,"No, I feel all are very clear and easy to understand.",,,,,I worked with optimization problems for financial-related scenarios.,,,,The work we did was to weigh the cost of materials and the manufacturing process so we could choose what was best for the company and the customers.,Yes,,,"Cost of materials, manufacturing process.","Sales, quality control",Incomplete,,,,,2,No,Technical/vocational training,,No,
356,5e5ce9165cd2ad4c23019550,0,"""Protein/grams,Fiber/grams,Carbohydrates/grams""","[60, 150, 15, 60, 0, 200]","""Muscle mass gain/kg/month,Fat tissue loss/kg/month""","[0.2, 2, 0, 5]","['maximize', 'maximize']","""9""",Yes,Solution 10,"The two suggested solutions were extremely close to each other, and there were barely any differences between them, so I just picked one randomly out of the two","The task seemed complicated when I was watching the tutorials, but after some hands-on experience I think I understood it well","I wanted to optimize the diet in terms of muscle gain and weight loss, based on three main dietary components: protein, fiber and carbohydrates","['Protein', 'Fiber', 'Carbohydrates']","['Muscle mass gain', 'Fat tissue loss']","No, all are easy for me.",,,5,5,7,,,,,"The objectives were my goals, and the variables were the things that were to be optimized by the AI to achieve them",Yes,,6,7,7,,,,,7,6,7,,,,,No,,Tutorial,,,,,"It seemed complicated and there was a lot of text to read, so for a moment I felt a bit confused and overloaded with information",,,,,,"No, I don't have any experience.",,,,,,,,,Yes,"buying a car - price, km/l of fuel and other variables",,"Price - minimize
km/l - maximize",4,,BS degree,,No,
359,66abe7eebba903cdd5e71edb,1,"""Lose Weight/stones,Healthiness""","[1, 3, 1, 5]","""Affordability/GBP,Tastiness""","[10, 40, 1, 5]","['minimize', 'maximize']","""6""",Yes,moderate weight loss,"I chose ""moderate weight loss"" because I felt like it gave me the outcome I wanted which was a healthy diet which still allowed me to lose the maximum weight. It did cost more money than the other solutions, but the tastiness level was the maximum, so I thought it was worthwhile!","My experience was quite interesting. I tried to think about a real life situation in order to come up with the variables and objectives. However, I found it tricky to come up with 10 options and I wished I had input more variables to start with, in order to have more options to choose from.","I did go with the diet scenario but I came up with an imaginary objective because in real life I would not be looking to lose weight, only to stay as healthy as possible. But for the purpose of the task I decided to focus on losing the maximum amount of weight (3 stones) and to be as healthy as possible. I set the objective measurements as affordability and tastiness as I thought those were probably the real objectives I would personally use. If I were to do it again I would probably add another objective measurement which would be something like ""accessibility"".","['Lose Weight', 'Healthiness']","['Affordability', 'Tastiness']","Yes, specifying variables is difficult for me.","I was trying to imagine what the most logical variables would be - or the most useful ones for the purpose of the task. For some reason, I found it hard to think of more.",Hard to come up with variables,4,6,6,,,,,"As far as I understand, the variables are the factors that are measurable as a sort of input and then the objectives are the things I want to achieve overall.",Yes,,5,5,6,,,,,6,5,6,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,I might use a tool like this to evaluate different packaging solutions for products I might create and sell in my business.,,"It would be a good way to compare things like paper thickness, number of colours printable, and size, and the objectives would be things like the cost and how professional the overall appearance of the product was.",2,I can see that it would be very useful for many different applications.,Others (Please specify),BA degree,No,
361,63f77b9ca8439f6e1620c1cd,0,"""Caloric Intake\t,Protein Intake\t""","[1200, 2500, 50, 200]","""Weight Loss\t/kg,Nutrient Balance\t""","[1, 2, 50, 100]","['minimize', 'maximize']","""2""",Yes,Low Calorie / High Protein Plan,"I chose the Low Calorie / High Protein Plan because it offers the best weight loss potential at while still maintaining a good nutrient balance .
","Overall my experience was positive, it was quite thought provoking and challenging at times, but I feel I was able to evaluate different solutions and come up with a reasonable choice.",The optimization task was centered around finding the best diet plan by adjusting calorie and  protein intake variables to achieve a goal of optimal weight loss and nutrient balance.,"['Caloric Intake\\t', 'Protein Intake\\t']","['Weight Loss\\t', 'Nutrient Balance\\t']","Yes, both specifying variables and specifying objectives are difficult for me.",At times it was challenging It to find the right balance for the diet plan,Don't know how to summarize,5,5,4,,,,,"Variables are things I can change, like calorie and protein intake while objectives are the goals I want to achieve like losing weight and staying healthy.
",Yes,,5,5,6,,,,,6,5,5,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,No,No,,,,,BS degree,,No,
363,665af670c32544bf63236164,0,"""Calorie Intake/Kcal,Fat intake/g""","[1000, 1500, 25, 50]","""Weight loss per week/Lb""","[1, 2]",['maximize'],"""0""",Yes,Solution 1,It is the best balance of result and achievability.,It took some effort to understand - a guide to refer back to would have been handy.,Balance of calorie and fat intake.,"['Calorie Intake', 'Fat intake']",['Weight loss per week'],"Yes, specifying variables is difficult for me.","I think it required more thought, the variables should have been subtractive from a goal rather than additive to zero.",Don't know how to summarize,3,2,6,I think it required additional thought - there needed to be a goal to measure against.,Yes but only if used in a different way.,,Doubts about the clarity and effectiveness of specifications during the process,Variables are altered in order to achieve objectives in the best way.,Yes,,4,4,3,,,I do not understand the formula/calculations that are going on in order to produce the optimisations.,Lack of understanding or feedback from AI,5,5,5,,,,,No,,Tutorial,,,,,It would have been nice to be able to refer back to the tutorial during the process.,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,Analyzing & backtesting forex trading strategies - optimising stoploss/target.,,"V: Stoploss / target

O: Win rate / overall return",1,,High school graduate,,Yes (Please specify),"Some very vague reading, nothing more."
367,6671932f4fd88121d7a200df,0,"""Exercise/kcal,Calories/kcal""","[1600, 2000, 1600, 2000]","""Satisfaction,Weight""","[1, 10, 50, 66]","['maximize', 'minimize']","""""",No,,,"It was difficult to understand at first, but then it became easier.",The task was based on a weight-based attempt and exercise,"['Exercise', 'Calories']","['Satisfaction', 'Weight']","No, all are easy for me.",,,4,6,7,,,,,"Variables are for composing variables
Objective is what you want to achieve",Yes,,5,6,7,,,,,6,7,7,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,No,Because it doesn't currently match anything in my life,The daily life and work doesn't involve similar tasks,,,,Technical/vocational training,,No,
370,5df7b6b6ef7f5e55506510c7,0,"""Calorie level/kcal,Protein level/grams""","[1500, 2300, 40, 100]","""Cost/pounds,Nutrition/milligrams""","[10, 30, 2, 10]","['minimize', 'maximize']","""0""",Yes,Solution 1,"It had a good balance of requirements, the other option, Solution 6, was expensive and had an excessive amount of protein",I used my knowledge about dieting to work out which specific areas I wanted to focus and and get help with,"I was looking for a slightly low calorie diet that had a high level of protein and good nutrition, for a reasonable price","['Calorie level', 'Protein level']","['Cost', 'Nutrition']","Yes, both specifying variables and specifying objectives are difficult for me.","It was difficult to specify certain things, such as if it's cost a day or over a different period. Also I knew I wanted nutrition but I wasn't sure how to put a number on that","1. Hard to come up with variables
2. Hard to set value range of variables/objectives",5,5,6,,,,,The variables created the solution and the objectives evaluated the solutions,Yes,,5,5,4,,,,,4,3,4,,"I felt like the protein levels would have been higher in an ideal scenario, even if it meant slightly higher costs",,Doubt about the clarity and effectiveness of the result,No,,Tutorial,,,,,It was explained well but sometimes it's not easy to grasp until you actually begin the task,,,,,,"No, I don't have any experience.",,,,,,,,,No,It's hard to think of many things that would benefit you by refining numbers,not a problem solved by values/ numbers,,,,BS degree,,No,
371,66cc7e5763b912d8c3210627,1,"""Wide variety diet,Amount of protein/grams,Portion size""","[1, 10, 50, 110, 1, 10]","""Satisfaction of cravings,meet protein needs for exercise/grams,Feeling full""","[1, 10, 50, 110, 1, 10]","['maximize', 'maximize', 'maximize']","""11""",Yes,eating at least 3 meals a day.,Because it's important to eat enough food and honor your physical needs for optimal health. Also when you're working out you want to meet your nutritional needs. When you eat at least 3 meals a day it's generally easier to meet protein needs as well.,"I think I understood the task correctly, but I was a little confused. Some moments it was hard to really understand the difference between the variables and objectives but eventually I believe I did well.",The task was about finding the optimal diet to stay healthy but also meeting your personal needs.,"['Wide variety diet', 'Amount of protein', 'Portion size']","['Satisfaction of cravings', 'meet protein needs for exercise', 'Feeling full']","Yes, specifying variables is difficult for me.",I was a bit confused about this part because I found it hard to differentiate between these two. For example when I wanted to write a variable down I realised that it was more of an objective so I erased it. Eventually I think I did do it correctly.,Hard to come up with variables,5,5,5,,,,,The objective is the 'why' behind the variable.,Yes,,5,5,6,,,,,5,5,6,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,deciding what product to buy,,"Variables:
Pricing
User rating
quality

Objectives:
Saving money
Finding a user-friendly product
Durability",2,no,BS degree,,No,
